Tacapobas,mean,count,std,ci95_hi,ci95_lo,ventilation,interven_eff
N95,32.636999785900116,10,2.7949993916974405,34.36051979252718,30.913479779273057,Cero,20.0%
Quirúrgicos,46.0290002822876,10,0.8922688354050029,46.57921263427541,45.47878793029979,Cero,20.0%
Tela,46.439000368118286,10,1.120212767887894,47.1297730111711,45.74822772506547,Cero,20.0%
N95,31.6729998588562,10,2.8551940420312705,33.433638544095665,29.912361173616738,Baja,20.0%
Quirúrgicos,34.01399999856949,10,1.4201661077791534,34.88973711205936,33.13826288507962,Baja,20.0%
Tela,35.00599950551987,10,2.588372578665583,36.60210429795265,33.409894713087084,Baja,20.0%
N95,30.664000064134598,10,2.9324210986821706,32.47226036159556,28.855739766673636,Media,20.0%
Quirúrgicos,33.980000019073486,10,1.696768571020893,35.02630242166345,32.93369761648352,Media,20.0%
Tela,34.76400047540665,10,1.636379559027257,35.77306434740492,33.754936603408375,Media,20.0%
N95,32.15499967336655,10,2.9384774880120754,33.966994607839965,30.343004738893132,Alta,20.0%
Quirúrgicos,31.08399987220764,10,2.4687300564110095,32.60632780395072,29.561671940464564,Alta,20.0%
Tela,32.99799978733063,10,2.71103863682559,34.66974588616257,31.32625368849868,Alta,20.0%
